Date,Price,MA_30,MA_90,MA_365,Log_Price,Log_Returns,Simple_Returns,Volatility_30,Volatility_90,log_price,log_return,is_after_changepoint
2020-07-08,43.67,40.399,31.502888888888886,56.075835616438354,3.7766613674974696,0.0089707329592436,0.0090110905730129,0.0305022686154101,0.1173743953435227,3.7766613674974696,0.008970732959243666,1
2020-07-09,42.35,40.678,31.40333333333333,56.021397260273964,3.745968421098064,-0.0306929463994061,-0.0302267002518892,0.030891494620211,0.117402946648025,3.7459684210980635,-0.030692946399406118,1
2020-07-10,43.27,40.982,31.30055555555555,55.97279452054794,3.7674595542367935,0.0214911331387299,0.0217237308146398,0.0309949447314004,0.1173986782138157,3.7674595542367935,0.021491133138729968,1
2020-07-13,42.85,41.18566666666667,31.196222222222225,55.92205479452055,3.7577056450437887,-0.0097539091930047,-0.0097064941067714,0.0285811352111908,0.1174009449758248,3.7577056450437887,-0.009753909193004784,1
2020-07-14,42.97,41.36066666666667,31.097444444444445,55.87183561643836,3.760502197786904,0.0027965527431148,0.0028004667444574,0.0283008797120796,0.1174008419757847,3.7605021977869035,0.002796552743114855,1
2020-07-15,43.96,41.56,31.016,55.82082191780822,3.7832801295354206,0.022777931748517,0.0230393297649522,0.0284981908068774,0.1174259783482476,3.7832801295354206,0.022777931748517055,1
2020-07-16,43.71,41.736666666666665,30.995,55.767232876712335,3.7775769088752233,-0.0057032206601972,-0.0056869881710646,0.0285353928946278,0.1167759057974271,3.7775769088752233,-0.005703220660197239,1
2020-07-17,43.53,41.821,31.086111111111112,55.7111506849315,3.773450355564206,-0.0041265533110173,-0.004118050789293,0.026136328257707,0.1135780173394436,3.773450355564206,-0.0041265533110173,1
2020-07-20,43.3,41.94233333333333,31.159888888888887,55.64991780821918,3.768152635008444,-0.0052977205557618,-0.0052837123822652,0.0253230995644464,0.1135205566878611,3.768152635008444,-0.005297720555761831,1
2020-07-21,44.31,42.071000000000005,31.26944444444445,55.589369863013694,3.7912103852113983,0.023057750202954,0.0233256351039261,0.0254065395597355,0.1133357950106445,3.7912103852113983,0.023057750202954086,1
2020-07-22,43.98,42.16433333333334,31.41311111111111,55.52942465753425,3.783734985126615,-0.0074754000847834,-0.0074475287745431,0.0253172343367533,0.1127700776114359,3.783734985126615,-0.0074754000847834234,1
2020-07-23,42.96,42.33766666666666,31.523777777777777,55.46405479452055,3.760269450200609,-0.0234655349260055,-0.0231923601637107,0.0196614620443494,0.1126411948274568,3.7602694502006093,-0.02346553492600556,1
2020-07-24,43.29,42.496,31.69322222222222,55.39934246575343,3.767921661453889,0.0076522112532799,0.0076815642458101,0.0194366461626524,0.1112464085569408,3.7679216614538893,0.007652211253279972,1
2020-07-27,43.39,42.62766666666666,31.863777777777777,55.33490410958903,3.7702289998102594,0.00230733835637,0.0023100023100024,0.0190957359157161,0.111245549887416,3.7702289998102594,0.002307338356370092,1
2020-07-28,43.11,42.70633333333333,32.04355555555556,55.27761643835617,3.763754988759043,-0.0064740110512162,-0.0064530997925789,0.0183331534260748,0.1111479708638102,3.763754988759043,-0.006474011051216255,1
2020-07-29,43.51,42.80766666666667,32.26811111111111,55.22008219178082,3.772990796732589,0.0092358079735457,0.0092785896543725,0.0183035472807182,0.1099919498912711,3.772990796732589,0.009235807973545729,1
2020-07-30,42.98,42.84866666666667,32.46344444444445,55.15824657534246,3.760734891214364,-0.0122559055182245,-0.0121811077913123,0.0176585863135456,0.1096831734182029,3.7607348912143643,-0.01225590551822453,1
2020-07-31,43.13,42.87533333333333,32.66422222222222,55.09824657534247,3.764218810659752,0.0034839194453875,0.0034899953466729,0.0174999044859663,0.1096641739049879,3.764218810659752,0.0034839194453875066,1
2020-08-03,43.76,42.894,32.88655555555555,55.04358904109589,3.7787201581137255,0.0145013474539736,0.0146070020867143,0.0173042759908467,0.1094823241159582,3.7787201581137255,0.01450134745397369,1
2020-08-04,43.99,42.93633333333333,33.090666666666664,54.98756164383561,3.783962335360629,0.0052421772469029,0.005255941499086,0.0171838552105638,0.1092350216015224,3.7839623353606284,0.0052421772469029015,1
2020-08-05,44.92,43.087,33.328111111111106,54.9346301369863,3.8048831298702415,0.0209207945096139,0.0211411684473743,0.0138175566519917,0.1088204148194863,3.8048831298702424,0.020920794509613927,1
2020-08-06,45.04,43.21566666666667,33.57977777777778,54.88128767123287,3.807550983831435,0.0026678539611926,0.0026714158504006,0.0135004062691496,0.1086479068619514,3.807550983831435,0.0026678539611926233,1
2020-08-07,44.07,43.319,33.85755555555556,54.82443835616439,3.785779278853896,-0.0217717049775392,-0.0215364120781527,0.0141709927631655,0.1072084286406443,3.7857792788538958,-0.02177170497753922,1
2020-08-10,44.19,43.406,34.135333333333335,54.76561643835617,3.788498519142649,0.0027192402887528,0.002722940776038,0.013978380612487,0.1072102131909556,3.7884985191426486,0.002719240288752811,1
2020-08-11,43.68,43.474,34.45433333333333,54.70704109589041,3.7768903314366495,-0.011608187705999,-0.0115410726408688,0.0141986133883139,0.1036642905331104,3.7768903314366495,-0.011608187705999029,1
2020-08-12,45.09,43.571,34.730444444444444,54.651589041095896,3.8086604924329928,0.0317701609963432,0.0322802197802198,0.0151061003513388,0.0989876158944768,3.8086604924329928,0.03177016099634322,1
2020-08-13,44.87,43.627,34.958666666666666,54.594,3.803769419987892,-0.0048910724451007,-0.0048791306276337,0.0145997721660554,0.0972190300105887,3.803769419987892,-0.004891072445100786,1
2020-08-14,44.86,43.69166666666667,35.20622222222222,54.535589041095896,3.803546529092062,-0.0002228908958299,-0.0002228660574994,0.0145336284883793,0.0968342344661084,3.803546529092062,-0.00022289089582994137,1
2020-08-17,44.91,43.76433333333333,35.459666666666664,54.47750684931507,3.804660487099647,0.0011139580075845,0.0011145786892554,0.0144910617153295,0.0967871772663445,3.8046604870996465,0.0011139580075845146,1
2020-08-18,45.34,43.833,35.68322222222223,54.41912328767123,3.814189645079383,0.0095291579797365,0.0095747049654866,0.0144167437336993,0.0958782826186205,3.814189645079383,0.009529157979736524,1
2020-08-19,45.21,43.88433333333333,35.96077777777778,54.35906849315069,3.811318301306514,-0.0028713437728691,-0.0028672254080283,0.0143685938959513,0.0927836636396432,3.811318301306514,-0.0028713437728691282,1
2020-08-20,44.56,43.958,36.214333333333336,54.2938904109589,3.7968365956190286,-0.0144817056874853,-0.0143773501437735,0.0134018597047952,0.0925708728373368,3.7968365956190286,-0.014481705687485302,1
2020-08-21,43.94,43.98033333333333,36.48255555555556,54.22715068493151,3.782825066956464,-0.0140115286625643,-0.0139138240574506,0.0131588727131389,0.0919694323324171,3.7828250669564643,-0.014011528662564388,1
2020-08-24,44.43,44.033,36.76855555555556,54.1672602739726,3.793914916947817,0.0110898499913529,0.0111515703231679,0.013148402660644,0.0916955735120626,3.7939149169478172,0.011089849991352985,1
2020-08-25,46.01,44.13433333333334,37.06033333333334,54.1087397260274,3.828858764167377,0.03494384721956,0.0355615575061893,0.0145207767215804,0.0916074573499904,3.8288587641673772,0.03494384721956001,1
2020-08-26,45.79,44.19533333333334,37.37622222222223,54.04923287671232,3.824065726669004,-0.0047930374983731,-0.0047815692240816,0.0140432582297576,0.0904273232372541,3.824065726669004,-0.0047930374983731205,1
2020-08-27,44.84,44.233,37.77311111111111,53.98756164383561,3.80310059820396,-0.0209651284650447,-0.0207468879668049,0.014574331919073,0.0576820439544667,3.8031005982039594,-0.020965128465044724,1
2020-08-28,45.22,44.28933333333334,38.12255555555556,53.93041095890412,3.811539466849824,0.0084388686458645,0.0084745762711864,0.0146068776685233,0.0395060599496725,3.811539466849824,0.008438868645864517,1
2020-09-01,45.72,44.370000000000005,38.46322222222222,53.86956164383562,3.8225358389266098,0.0109963720767858,0.0110570544007075,0.0146571092023372,0.0386592246834604,3.8225358389266098,0.010996372076785832,1
2020-09-02,42.7,44.31633333333333,38.76133333333333,53.79728767123287,3.754198920234579,-0.0683369186920308,-0.0660542432195975,0.0189566584405905,0.0393423958407803,3.754198920234579,-0.06833691869203085,1
2020-09-03,42.72,44.27433333333333,39.06744444444445,53.723424657534245,3.754667194651939,0.0004682744173605,0.0004683840749413,0.0189219147005883,0.0389029330305621,3.7546671946519394,0.0004682744173605258,1
2020-09-04,41.1,44.21233333333334,39.35077777777777,53.646410958904106,3.716008121502189,-0.0386590731497502,-0.0379213483146066,0.019730845625439,0.039218848375145,3.716008121502189,-0.038659073149750256,1
2020-09-07,40.67,44.125,39.60422222222223,53.56660273972603,3.705490719919133,-0.0105174015830558,-0.0104622871046228,0.0197198680033246,0.0369636499513151,3.7054907199191334,-0.010517401583055808,1
2020-09-08,38.53,43.963,39.83111111111111,53.48057534246576,3.6514371586380654,-0.054053561281067,-0.0526186378165723,0.0218563678634237,0.0375547036916674,3.6514371586380663,-0.054053561281067086,1
2020-09-09,39.98,43.85866666666666,40.06988888888889,53.3952602739726,3.6883793290722537,0.0369421704341874,0.037633013236439,0.0230868937206709,0.0376531879852887,3.6883793290722537,0.03694217043418746,1
2020-09-10,39.27,43.717333333333336,40.27955555555556,53.30827397260274,3.6704608685899194,-0.0179184604823352,-0.0177588794397196,0.023142643424718,0.0365168401964763,3.6704608685899185,-0.017918460482335252,1
2020-09-11,38.8,43.578,40.42777777777778,53.21832876712328,3.658420246629228,-0.0120406219606907,-0.0119684237331297,0.0231398415500637,0.0285459155410072,3.6584202466292277,-0.012040621960690778,1
